Table 1
Date,Details,Ref No/Cheque No,Debit,Credit,Balance,
27/05/2026,"NEFT CR SALARY CREDIT-ACME TECHNOLOGIES PVT LTD",,,68500.00,93500.00,
29/05/2026,"UPI/DR/HOUSERENT/house rent to landlord/UPI",,18000.00,,75500.00,
30/05/2026,"UPI/DR/Blinkit/blinkit groceries/UPI",,815.00,,74685.00,
30/05/2026,"UPI/DR/Swiggy/swiggy order/UPI",,420.00,,74265.00,
01/06/2026,"UPI/DR/HDFCLOAN/HDFC personal loan EMI/UPI",,9500.00,,64765.00,
06/06/2026,"UPI/DR/BESCOM/BESCOM electricity bill payment/UPI",,1240.00,,63525.00,
08/06/2026,"UPI/DR/Airtel/Airtel mobile recharge/UPI",,599.00,,62926.00,
10/06/2026,"UPI/DR/AmazonPay/Amazon India purchase/UPI",,1299.00,,61627.00,
12/06/2026,"UPI/DR/BigBasket/bigbasket groceries/UPI",,2100.00,,59527.00,
15/06/2026,"UPI/DR/Zomato/zomato order/UPI",,560.00,,58967.00,
16/06/2026,"UPI/CR/Zomato/zomato refund/UPI",,,560.00,59527.00,
18/06/2026,"UPI/DR/DMart/UPI purchase pos/UPI",,350.00,,59177.00,
21/06/2026,"UPI/DR/QuickMart/UPI purchase/UPI",,180.00,,58997.00,
26/06/2026,"NEFT CR SALARY CREDIT-ACME TECHNOLOGIES PVT LTD",,,68500.00,127497.00,
28/06/2026,"UPI/DR/HOUSERENT/house rent to landlord/UPI",,18000.00,,109497.00,
29/06/2026,"UPI/DR/Blinkit/blinkit groceries/UPI",,815.00,,108682.00,
29/06/2026,"UPI/DR/Swiggy/swiggy order/UPI",,420.00,,108262.00,
01/07/2026,"UPI/DR/HDFCLOAN/HDFC personal loan EMI/UPI",,9500.00,,98762.00,
06/07/2026,"UPI/DR/BESCOM/BESCOM electricity bill payment/UPI",,1240.00,,97522.00,
08/07/2026,"UPI/DR/Airtel/Airtel mobile recharge/UPI",,599.00,,96923.00,
10/07/2026,"UPI/DR/AmazonPay/Amazon India purchase/UPI",,1299.00,,95624.00,
12/07/2026,"UPI/DR/BigBasket/bigbasket groceries/UPI",,2100.00,,93524.00,
15/07/2026,"UPI/DR/Zomato/zomato order/UPI",,560.00,,92964.00,
16/07/2026,"UPI/CR/Zomato/zomato refund/UPI",,,560.00,93524.00,
18/07/2026,"UPI/DR/DMart/UPI purchase pos/UPI",,350.00,,93174.00,
21/07/2026,"UPI/DR/QuickMart/UPI purchase/UPI",,180.00,,92994.00,
26/07/2026,"NEFT CR SALARY CREDIT-ACME TECHNOLOGIES PVT LTD",,,68500.00,161494.00,
28/07/2026,"UPI/DR/HOUSERENT/house rent to landlord/UPI",,18000.00,,143494.00,
29/07/2026,"UPI/DR/Blinkit/blinkit groceries/UPI",,815.00,,142679.00,
29/07/2026,"UPI/DR/Swiggy/swiggy order/UPI",,420.00,,142259.00,
31/07/2026,"UPI/DR/HDFCLOAN/HDFC personal loan EMI/UPI",,9500.00,,132759.00,
05/08/2026,"UPI/DR/BESCOM/BESCOM electricity bill payment/UPI",,1240.00,,131519.00,
07/08/2026,"UPI/DR/Airtel/Airtel mobile recharge/UPI",,599.00,,130920.00,
09/08/2026,"UPI/DR/AmazonPay/Amazon India purchase/UPI",,1299.00,,129621.00,
11/08/2026,"UPI/DR/BigBasket/bigbasket groceries/UPI",,2100.00,,127521.00,
14/08/2026,"UPI/DR/Zomato/zomato order/UPI",,560.00,,126961.00,
15/08/2026,"UPI/CR/Zomato/zomato refund/UPI",,,560.00,127521.00,
17/08/2026,"UPI/DR/DMart/UPI purchase pos/UPI",,350.00,,127171.00,
20/08/2026,"UPI/DR/QuickMart/UPI purchase/UPI",,180.00,,126991.00,
,,,,,,
This is a computer generated statement and does not require a signature.,,,,,,
