Statement of account - sandbox export
Period: 02/06/2026 to 14/07/2026

Txn Date,Narration,Withdrawal Amt,Deposit Amt
04/06/2026,Salary credit - Meridian Textiles,,42517.00
06/06/2026,House rent paid to landlord,12000.00,
09/06/2026,BESCOM electricity bill payment,1105.00,
11/06/2026,Airtel prepaid mobile recharge,499.00,
13/06/2026,UPI purchase - BigBasket groceries,684.00,
04/07/2026,Salary credit - Meridian Textiles,,42517.00
06/07/2026,House rent paid to landlord,12000.00,
09/07/2026,BESCOM electricity bill payment,1105.00,
11/07/2026,Airtel prepaid mobile recharge,499.00,
13/07/2026,UPI purchase - BigBasket groceries,684.00,
